Region_CN	Region_EN	T20191231	T20200111	T20200112	T20200113	T20200114	T20200115	T20200116	T20200117	T20200118	T20200119	T20200120	T20200121	T20200122	T20200123	T20200124	T20200125	T20200126	T20200127	T20200128	T20200129	T20200130	T20200131	T20200201	T20200202	T20200203	T20200204	T20200205	T20200206	T20200207	T20200208	T20200209	T20200210	T20200211	T20200212	T20200213	T20200214	T20200215	T20200216	T20200217	T20200218	T20200219	T20200220	T20200221	T20200222
安徽省	Anhui	0	0	0	0	0	0	0	0	0	0	0	0	9	6	24	21	10	36	46	48	37	60	43	68	72	50	61	74	68	46	51	30	29	22	24	16	12	11	9	4	1	1	1	0
澳门特别行政区	Macao	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	3	2	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
北京市	Beijing	0	0	0	0	0	0	0	0	0	0	5	5	4	12	10	15	17	12	11	20	21	24	27	32	16	25	21	23	18	11	11	5	10	14	6	3	5	1	6	6	2	1	3	0
福建省	Fujian	0	0	0	0	0	0	0	0	0	0	0	0	4	5	9	11	27	17	9	19	19	24	15	20	15	11	10	9	15	11	11	6	5	7	2	4	2	3	2	1	0	0	0	0
甘肃省	Gansu	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	3	7	5	5	2	4	5	5	11	4	2	5	5	4	8	4	3	0	1	3	0	0	0	1	0	0	0	0	0
广东省	Guangdong	0	0	0	0	0	0	0	0	0	1	13	12	6	21	25	20	48	42	53	70	82	127	84	79	114	73	74	74	57	45	31	26	42	22	20	33	22	6	6	3	1	1	6	3
广西壮族自治区	Guangxi	0	0	0	0	0	0	0	0	0	0	0	0	5	8	10	10	13	5	7	20	9	13	11	16	12	11	18	4	11	12	15	5	7	0	4	9	2	1	4	2	1	1	3	0
贵州省	Guizhou	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	1	2	2	0	3	3	14	9	8	10	8	5	8	12	7	13	9	13	4	5	3	1	2	0	0	0	0	0	0
海南省	Hainan	0	0	0	0	0	0	0	0	0	0	0	0	4	4	9	5	9	9	5	3	3	8	6	7	9	11	11	11	-1	6	8	6	3	12	0	5	0	0	1	0	5	0	0	0
河北省	Hebei	0	0	0	0	0	0	0	0	0	0	0	0	1	1	6	5	5	15	15	17	17	14	8	9	13	9	22	14	24	11	12	21	12	14	18	8	9	1	1	4	1	1	1	2
