Region_CN	Region_EN	T20191231	T20200111	T20200112	T20200113	T20200114	T20200115	T20200116	T20200117	T20200118	T20200119	T20200120	T20200121	T20200122	T20200123	T20200124	T20200125	T20200126	T20200127	T20200128	T20200129	T20200130	T20200131	T20200201	T20200202	T20200203	T20200204	T20200205	T20200206	T20200207	T20200208	T20200209	T20200210	T20200211	T20200212	T20200213	T20200214	T20200215	T20200216	T20200217	T20200218	T20200219	T20200220	T20200221	T20200222
安徽省	Anhui	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	2	2	7	6	3	11	13	12	14	15	20	20	38	32	34	34	27	68	63	76	67	53
澳门特别行政区	Macao	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	2	0	0	1	0	0	0
北京市	Beijing	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	2	0	1	0	4	3	11	1	8	2	1	3	7	4	8	12	11	18	8	9	8	23	8	16	9	11
福建省	Fujian	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	6	4	4	5	4	11	4	7	8	5	7	11	7	7	5	16	22	16	15
甘肃省	Gansu	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	2	3	0	3	4	5	3	7	8	5	5	5	4	4	3	6	5	0
广东省	Guangdong	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	1	1	3	0	3	2	6	12	17	19	29	28	18	38	60	43	48	54	50	37	57	41	48	45	56	20
广西壮族自治区	Guangxi	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	5	3	4	3	0	1	0	12	1	2	2	5	6	5	7	18	11	8	4	5
贵州省	Guizhou	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	3	1	0	0	1	0	3	7	3	8	5	4	10	19	3	2	5	14	1
海南省	Hainan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	1	1	3	-1	4	4	0	1	7	3	8	1	13	7	20	0	5	7	8
河北省	Hebei	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	3	9	9	5	5	6	7	6	15	17	14	9	14	13	16	18	14	20
河南省	Henan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	10	6	21	13	14	29	34	38	29	33	27	55	45	42	41	67	47	62	103	85	59
黑龙江省	Heilongjiang	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	3	1	4	1	2	12	1	3	6	11	22	10	5	23	15	18	42	32
湖北省	Hubei	0	4	1	0	0	5	3	4	5	1	0	-1	0	3	1	10	2	3	33	10	26	50	49	80	101	125	113	184	298	324	356	427	417	802	690	912	849	1016	1223	1266	1209	1451	1764	1742
湖南省	Hunan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	5	8	6	13	21	35	28	40	27	27	50	49	40	37	41	37	34	41	36	60	32	35
吉林省	Jilin	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	2	0	1	7	1	5	4	3	0	3	2	4	2	4	4	2	6
江苏省	Jiangsu	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	3	1	1	1	5	13	12	5	8	21	12	10	37	6	23	30	36	37	33	29	27	35	24
江西省	Jiangxi	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	4	2	1	8	1	8	10	8	10	17	30	25	25	18	17	23	29	36	35	52	70	57	55	67
辽宁省	Liaoning	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	2	1	2	1	4	0	7	1	2	7	3	9	2	12	3	3	5	2
内蒙古自治区	Inner Mongoria IM	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3	0	1	0	0	0	0	1	0	0	1	1	0	1	2	5	6	4
宁夏回族自治区	Ningxia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	10	0	1	8	2	0	3	6	0	2	7	0	2	4	0
青海省	Qinghai	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	2	4	2	0	2	0	0	2	1	0	2	0
山东省	Shandong	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	3	1	1	6	5	13	7	12	13	8	9	18	13	28	25	11	18	22	23	32	23	18
山西省	Shanxi	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	2	2	6	3	6	4	1	4	3	3	2	8	4	3	8	7	8	2	3
陕西省	Shaanxi	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	4	5	6	3	6	5	5	6	7	4	11	10	5	10	16	12	23	13
上海市	Shanghai	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	1	1	0	4	1	0	0	2	3	10	5	11	3	4	5	4	5	28	34	16	21	16	9	13	12	16
四川省	Sichuan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	9	2	9	4	10	13	10	16	6	3	8	12	10	12	9	27	14	21	24	20	14
台湾省	Taiwan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
天津市	Tianjing	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	2	0	4	2	1	10	11	5	8	1	2	6	5	3	3
西藏自治区	Tibet	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
香港特别行政区	Hongkong 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	2	1	0	1	5
新疆维吾尔自治区	Xinjiang	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	3	0	5	1	0	2	6	2	2	1
云南省	Yunnan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	1	1	1	2	0	0	2	5	5	4	1	1	3	4	8	7	0	5	10	3	19	17	11
浙江省	Zhejiang	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	1	5	6	8	13	12	15	18	17	29	46	28	50	28	48	40	42	28	33	44	30	65	38	47	35
重庆市	Chongqing	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	4	2	5	1	9	7	8	12	15	13	23	26	24	32	23	18	29	20	25	17	12
