Region_CN	Region_EN	T20191231	T20200111	T20200112	T20200113	T20200114	T20200115	T20200116	T20200117	T20200118	T20200119	T20200120	T20200121	T20200122	T20200123	T20200124	T20200125	T20200126	T20200127	T20200128	T20200129	T20200130	T20200131	T20200201	T20200202	T20200203	T20200204	T20200205	T20200206	T20200207	T20200208	T20200209	T20200210	T20200211	T20200212	T20200213	T20200214	T20200215	T20200216	T20200217	T20200218	T20200219	T20200220	T20200221	T20200222	T20200223	T20200224	T20200225	T20200226	T20200227	T20200228	T20200229	T20200301	T20200302	T20200303	T20200304	T20200305	T20200306	T20200307	T20200308	T20200309	T20200310	T20200311	T20200312	T20200313	T20200314
安徽省	Anhui	0	0	0	0	0	0	0	0	0	0	0	0	9	15	39	60	70	106	152	200	237	297	340	408	480	530	591	665	733	779	830	860	889	910	934	950	962	973	982	986	987	988	989	989	989	989	989	989	990	990	990	990	990	990	990	990	990	990	990	990	990	990	990	990	990
澳门特别行政区	Macao	0	0	0	0	0	0	0	0	0	0	0	0	1	2	2	2	5	7	7	7	7	7	7	8	8	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10
北京市	Beijing	0	0	0	0	0	0	0	0	0	0	5	10	14	26	36	51	68	80	91	111	132	156	183	212	228	253	274	297	315	326	337	342	352	366	372	375	380	381	387	393	395	396	399	399	399	400	400	410	410	411	413	414	414	417	418	422	426	428	428	429	435	435	436	437	442
福建省	Fujian	0	0	0	0	0	0	0	0	0	0	0	0	4	9	18	29	56	73	82	101	120	144	159	179	194	205	215	224	239	250	261	267	272	279	281	285	287	290	292	293	293	293	293	293	293	294	294	296	296	296	296	296	296	296	296	296	296	296	296	296	296	296	296	296	296
甘肃省	Gansu	0	0	0	0	0	0	0	0	0	0	0	0	0	2	4	7	14	19	24	26	30	35	40	51	55	57	62	67	71	79	83	86	86	87	90	90	90	90	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	102	119	120	124	124	125	127	127	129	132
广东省	Guangdong	0	0	0	0	0	0	0	0	0	1	14	26	32	53	78	98	146	188	241	311	393	520	604	683	797	870	944	1018	1075	1120	1151	1177	1219	1241	1261	1294	1316	1322	1328	1331	1332	1333	1339	1342	1345	1347	1347	1347	1348	1349	1349	1350	1350	1350	1350	1351	1352	1352	1352	1353	1353	1356	1356	1356	1357
广西壮族自治区	Guangxi	0	0	0	0	0	0	0	0	0	0	0	0	5	13	23	33	46	51	58	78	87	100	111	127	139	150	168	172	183	195	210	215	222	222	226	235	237	238	242	244	245	246	249	249	251	252	252	252	252	252	252	252	252	252	252	252	252	252	252	252	252	252	252	252	252
贵州省	Guizhou	0	0	0	0	0	0	0	0	0	0	0	0	3	3	4	5	7	9	9	12	15	29	38	46	56	64	69	77	89	96	109	118	131	135	140	143	144	146	146	146	146	146	146	146	146	146	146	146	146	146	146	146	146	146	146	146	146	146	146	146	146	146	146	146	146
海南省	Hainan	0	0	0	0	0	0	0	0	0	0	0	0	4	8	17	22	31	40	43	46	49	57	63	70	79	89	100	114	122	128	136	142	145	157	157	162	162	162	163	163	168	168	168	168	168	168	168	168	168	168	168	168	168	168	168	168	168	168	168	168	168	168	168	168	168
河北省	Hebei	0	0	0	0	0	0	0	0	0	0	0	0	1	2	8	13	18	33	48	65	82	96	104	113	126	135	157	171	195	206	218	239	251	265	283	291	300	301	302	306	307	308	309	311	311	311	312	317	318	318	318	318	318	318	318	318	318	318	318	318	318	318	318	318	318
河南省	Henan	0	0	0	0	0	0	0	0	0	0	0	1	5	9	32	83	128	168	206	278	352	422	493	566	675	764	851	914	981	1033	1073	1105	1135	1169	1184	1212	1231	1246	1257	1262	1265	1267	1270	1271	1271	1271	1271	1272	1272	1272	1272	1272	1272	1272	1272	1272	1272	1272	1272	1272	1272	1272	1272	1272	1272
黑龙江省	Heilongjiang	0	0	0	0	0	0	0	0	0	0	0	0	2	4	9	15	21	30	37	43	59	80	95	118	155	190	227	277	295	307	331	360	378	395	418	425	445	457	464	470	476	479	479	480	480	480	480	480	480	480	480	480	480	480	480	481	481	481	481	481	482	482	482	482	482
湖北省	Hubei	27	41	41	41	41	41	45	62	121	198	270	375	444	549	729	1052	1423	2714	3554	4586	5806	7153	9074	11177	13522	16678	19665	22112	24953	27100	29631	31728	33366	48206	51986	54406	56249	58182	59989	61682	62031	62662	63454	64084	64287	64786	65187	65596	65914	66337	66907	67103	67217	67332	67466	67592	67666	67707	67743	67760	67773	67781	67786	67790	67794
湖南省	Hunan	0	0	0	0	0	0	0	0	0	0	0	1	9	24	43	69	100	143	221	277	332	389	463	521	593	661	711	772	803	838	879	912	946	968	988	1001	1004	1006	1007	1008	1010	1011	1013	1016	1016	1016	1016	1017	1017	1018	1018	1018	1018	1018	1018	1018	1018	1018	1018	1018	1018	1018	1018	1018	1018
吉林省	Jilin	0	0	0	0	0	0	0	0	0	0	0	0	1	3	4	4	6	8	9	14	14	17	23	31	42	54	59	65	69	78	80	81	83	84	86	88	89	89	89	90	91	91	91	91	93	93	93	93	93	93	93	93	93	93	93	93	93	93	93	93	93	93	93	93	93
江苏省	Jiangsu	0	0	0	0	0	0	0	0	0	0	0	0	1	9	18	31	47	70	99	129	168	202	236	271	308	341	373	408	439	468	492	515	543	570	593	604	617	626	629	631	631	631	631	631	631	631	631	631	631	631	631	631	631	631	631	631	631	631	631	631	631	631	631	631	631
江西省	Jiangxi	0	0	0	0	0	0	0	0	0	0	0	2	3	7	18	36	48	72	109	162	240	286	334	391	476	548	600	661	698	740	771	804	844	872	900	913	925	930	933	934	935	935	935	935	935	934	934	934	935	935	935	935	935	935	935	935	935	935	935	935	935	935	935	935	935
辽宁省	Liaoning	0	0	0	0	0	0	0	0	0	0	0	0	2	4	12	17	22	30	36	41	45	60	64	70	74	81	89	94	99	105	107	108	116	116	117	119	120	121	121	121	121	121	121	121	121	121	121	121	121	121	122	122	125	125	125	125	125	125	125	125	125	125	125	125	125
内蒙古自治区	Inner Mongoria IM	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	7	11	13	16	18	20	23	27	34	35	42	46	50	52	54	58	58	60	61	65	68	70	72	73	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75
宁夏回族自治区	Ningxia	0	0	0	0	0	0	0	0	0	0	0	0	1	2	3	4	7	11	12	17	21	26	28	31	34	34	40	43	45	46	50	54	59	65	68	71	71	71	71	72	72	72	72	72	72	72	72	73	73	74	74	75	75	75	75	75	75	75	75	75	75	75	75	75	75
青海省	Qinghai	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	6	6	6	8	9	9	13	15	17	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18
山东省	Shandong	0	0	0	0	0	0	0	0	0	0	0	1	6	9	21	39	63	87	121	145	178	202	225	246	270	298	343	379	407	435	459	486	497	506	519	530	537	541	543	544	546	748	750	754	755	755	756	756	756	756	756	758	758	758	758	758	758	758	758	758	759	760	760	760	760
山西省	Shanxi	0	0	0	0	0	0	0	0	0	0	0	0	1	1	6	9	13	20	27	35	39	47	56	66	74	81	90	96	104	116	120	122	124	126	126	127	128	129	130	131	131	132	132	132	132	133	133	133	133	133	133	133	133	133	133	133	133	133	133	133	133	133	133	133	133
