Region_CN	Region_EN	T20191231	T20200111	T20200112	T20200113	T20200114	T20200115	T20200116	T20200117	T20200118	T20200119	T20200120	T20200121	T20200122	T20200123	T20200124	T20200125	T20200126	T20200127	T20200128	T20200129	T20200130	T20200131	T20200201	T20200202	T20200203	T20200204	T20200205	T20200206	T20200207	T20200208	T20200209	T20200210	T20200211	T20200212	T20200213	T20200214	T20200215	T20200216	T20200217	T20200218	T20200219	T20200220	T20200221	T20200222	T20200223	T20200224	T20200225	T20200226	T20200227	T20200228	T20200229	T20200301	T20200302	T20200303	T20200304	T20200305	T20200306	T20200307	T20200308	T20200309	T20200310	T20200311	T20200312	T20200313	T20200314	T20200315	T20200316	T20200317	T20200318	T20200319	T20200320	T20200321	T20200322	T20200323	T20200324	T20200325	T20200326	T20200327	T20200328	T20200329	T20200330	T20200331	T20200401	T20200402	T20200403	T20200404	T20200405	T20200406	T20200407
安徽省	Anhui	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	3	5	7	14	20	23	34	47	59	73	88	108	128	166	198	232	266	293	361	424	500	567	620	648	692	727	764	814	842	868	888	917	941	956	970	979	981	984	984	984	984	984	984	984	984	984	984	984	984	984	984	984	984	984	984	984	984	984	984	984	984	984	984	984	984	984	984	984
澳门特别行政区	Macao	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	2	3	3	3	5	5	5	6	6	6	6	6	6	7	7	8	8	8	8	8	9	9	9	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10
北京市	Beijing	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	2	2	4	4	5	5	9	12	23	24	31	33	34	37	44	48	56	68	79	97	105	114	122	145	153	169	178	189	198	215	235	248	257	271	276	282	288	294	297	298	303	308	315	320	326	334	342	349	353	358	368	373	379	384	392	398	400	401	401	403	406	409	411	412	416	418	424	434	438	441	443	448	455
福建省	Fujian	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	7	11	15	20	24	35	39	46	54	59	66	77	84	91	96	112	134	150	165	174	188	205	225	232	241	243	247	255	261	270	278	284	295	295	295	295	295	295	295	295	295	295	295	295	295	295	295	295	295	295	295	295	295	295	295	295	297	299	300	301	303	305	305	307
甘肃省	Gansu	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	4	6	9	9	12	16	21	24	31	39	44	49	54	58	62	65	71	76	76	78	80	80	81	82	82	82	84	85	86	87	87	87	87	87	88	88	88	88	89	91	91	91	91	90	97	96	113	114	118	119	121	123	125	125	125	125	125	127	127	131	131	132	132	133
广东省	Guangdong	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	2	4	5	6	9	9	12	14	20	32	49	68	97	125	143	181	241	284	332	386	436	473	530	571	619	664	720	740	772	805	841	873	919	972	1009	1034	1081	1129	1159	1209	1233	1250	1260	1270	1282	1288	1296	1299	1303	1306	1307	1312	1318	1322	1325	1329	1332	1333	1334	1336	1337	1341	1349	1351	1353	1357	1365	1368	1378	1387	1395	1401	1411
广西壮族自治区	Guangxi	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	2	2	2	7	10	14	17	17	18	18	30	31	33	35	40	46	51	58	76	87	95	99	104	107	129	138	159	166	172	179	188	202	210	213	217	219	223	230	234	237	241	243	243	243	247	248	250	250	250	250	250	250	250	250	250	250	250	250	250	250	250	252	252	252	252	252	252	252
贵州省	Guizhou	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	2	2	2	5	6	6	6	7	7	10	17	20	28	33	37	47	66	69	71	76	90	91	102	103	104	112	112	112	112	114	114	114	114	114	115	117	123	129	133	137	140	143	143	143	144	144	144	144	144	144	144	144	144	144	144	144	144	144	144	144	144	144	144	144	144	144	144
海南省	Hainan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	4	4	4	5	9	11	15	19	19	20	27	30	38	39	52	59	79	84	89	96	104	106	116	124	129	132	136	148	151	151	155	158	158	158	158	159	159	159	160	160	160	160	160	161	161	161	161	161	161	161	161	162	162	162	162	162	162	162	162	162	162	162	162	162	162	162
河北省	Hebei	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	3	4	7	16	25	30	35	41	48	54	69	86	100	109	123	136	152	170	184	204	221	241	248	261	274	277	283	294	297	300	301	304	305	307	307	307	307	307	310	310	310	310	310	310	310	310	310	310	310	310	310	310	310	310	310	310	310	310	310	310	310	310	310	312	312
河南省	Henan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	3	3	4	14	20	41	54	68	97	131	169	198	231	258	313	356	397	438	505	552	614	717	802	861	930	989	1023	1062	1103	1161	1185	1205	1223	1234	1239	1241	1243	1246	1247	1247	1249	1249	1249	1249	1250	1250	1250	1250	1250	1250	1250	1250	1250	1250	1250	1250	1250	1251	1251	1251	1251	1251	1251	1251	1251	1251	1252	1252	1252
黑龙江省	Heilongjiang	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	4	7	8	12	13	15	27	28	31	37	48	70	80	85	108	123	141	183	215	224	232	245	262	280	295	330	350	358	372	379	380	402	409	421	434	435	440	446	447	453	454	456	459	460	463	463	465	465	468	468	469	469	469	469	469	469	469	469	469	469	469	469	469	470
