Region_CN	Region_EN	T20191231	T20200111	T20200112	T20200113	T20200114	T20200115	T20200116	T20200117	T20200118	T20200119	T20200120	T20200121	T20200122	T20200123	T20200124	T20200125	T20200126	T20200127	T20200128	T20200129	T20200130	T20200131	T20200201	T20200202	T20200203	T20200204	T20200205	T20200206	T20200207	T20200208	T20200209	T20200210	T20200211	T20200212	T20200213	T20200214	T20200215	T20200216	T20200217	T20200218	T20200219	T20200220	T20200221	T20200222	T20200223	T20200224	T20200225	T20200226	T20200227	T20200228	T20200229	T20200301	T20200302	T20200303	T20200304	T20200305	T20200306	T20200307	T20200308	T20200309	T20200310	T20200311	T20200312	T20200313	T20200314	T20200315	T20200316	T20200317	T20200318	T20200319	T20200320	T20200321	T20200322	T20200323	T20200324	T20200325	T20200326	T20200327	T20200328	T20200329	T20200330	T20200331	T20200401	T20200402	T20200403	T20200404	T20200405	T20200406	T20200407	T20200408	T20200409	T20200410	T20200411	T20200412	T20200413	T20200414	T20200415	T20200416	T20200417	T20200418	T20200419	T20200420	T20200421	T20200422	T20200423	T20200424	T20200425	T20200426	T20200427	T20200428	T20200429	T20200430	T20200501	T20200502	T20200503	T20200504	T20200505	T20200506	T20200507	T20200508	T20200509	T20200510
阿尔巴尼亚	Albania	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	6	15	33	33	38	42	42	55	55	55	70	0	76	104	123	146	186	197	197	197	223	243	277	304	333	361	361	383	400	409	416	416	446	467	475	494	518	539	548	562	584	609	634	663	678	678	726	726	750	766	773	773	789	795	803	820	832	842	850	856	868
阿尔及利亚	Algeria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	17	17	17	19	19	19	20	25	26	37	48	54	60	67	75	90	102	12	230	230	264	302	367	409	454	511	584	716	847	986	1171	1251	1320	1423	1468	1572	1666	1761	1825	1914	1983	2070	2160	2268	2418	2534	2629	2718	2811	2910	3007	3127	3256	3382	3649	3649	3848	4006	4154	4295	4474	4648	4838	4997	5182	5369	5558
阿富汗	Afghanistan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	4	4	4	4	4	5	7	7	7	10	16	21	22	22	22	24	24	0	42	42	74	84	95	117	117	145	174	196	239	273	299	337	367	423	444	484	521	521	607	665	714	784	840	906	933	993	1026	1092	1176	1279	1330	1463	1531	1703	1828	1938	2171	2335	2469	2704	2894	3224	3392	3563	3778	4033	4402
阿根廷	Argentina	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	8	9	12	17	19	19	31	34	45	45	65	65	97	128	158	1	225	301	387	502	589	690	745	745	966	1054	1133	1265	1353	1451	1554	1628	1715	1795	1894	1975	2142	2208	2277	2443	2571	2669	2758	2839	2941	3031	3144	3288	3435	3607	3780	3892	4003	4127	4285	4428	4532	4681	4783	4887	5020	5208	5371	5611	5776
阿克罗蒂里和德克利亚	Akrotiri and Dhekelia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
阿拉伯联合酋长国	United Arab Emirates	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	4	4	4	5	5	5	5	5	5	7	7	7	8	8	8	8	8	8	9	9	9	9	9	11	11	11	13	13	13	19	21	21	21	21	27	28	28	45	45	45	74	74	74	85	85	86	98	98	113	140	140	153	38	198	198	333	333	333	468	468	611	664	664	814	1024	1505	1505	2076	2076	2659	2659	2990	3736	3736	4123	4521	4933	5365	5825	5825	6781	7265	7755	8238	8756	8756	9281	10349	10349	11380	11380	12481	13038	13038	14163	14163	15192	15192	16240	16793	16793	18198
阿鲁巴	Aruba	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	8	19	19	19	19	19	19	19	19	19	19	19	19	19	19	86	86	86	86	93	93	93	93	93	93	93	93	93	93	93	93	93	93	93	100	100	100	100	100	100	100	100	100	101
阿曼	Oman	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	4	5	6	6	6	6	12	12	16	16	16	16	16	16	18	18	19	20	21	22	24	33	39	39	52	13	66	84	99	109	131	152	167	179	192	210	231	252	277	298	331	371	419	457	484	484	599	727	813	910	1019	1069	1180	1266	1410	1508	1614	1716	1790	1905	1998	2049	2131	2274	2348	2447	2483	2568	2637	2735	2903	2958	3112	3224	3399
阿塞拜疆	Azerbaijan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	3	3	3	3	3	3	3	3	11	13	15	19	19	23	25	25	25	25	25	44	10	72	72	93	93	122	165	182	209	273	298	400	443	521	584	641	717	822	926	926	991	1098	1148	1197	1253	1253	1283	1373	1398	1436	1480	1518	1548	1592	1617	1645	1678	1717	1717	1804	1804	1894	1932	1932	2060	2127	2204	2279	2422	2422
埃及	Egypt	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	14	15	33	59	59	59	67	80	93	110	126	166	196	210	256	285	41	327	366	442	456	495	536	576	609	656	710	779	865	985	1070	1173	1322	1450	1560	1699	1794	1939	2065	2190	2350	2505	2673	2844	3032	3144	3333	3490	3659	3891	4092	4319	4534	5042	5042	5268	5537	5895	6193	6465	6813	7201	7588	7981	8476	8964
埃塞俄比亚	Ethiopia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	5	5	6	6	9	9	0	12	12	12	12	16	16	16	23	25	29	29	35	38	43	43	52	55	56	65	65	71	74	82	85	92	96	105	108	111	114	116	116	117	122	123	124	126	130	131	133	133	135	140	145	162	187	194	210	239
爱尔兰	Ireland	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	2	6	13	18	19	24	24	34	43	70	90	129	169	223	292	366	557	683	0	906	1125	1329	1564	1819	2121	2415	2615	2910	3235	3447	3849	4273	4604	4994	5364	5709	6074	6574	8089	8928	9655	10647	11479	12547	13271	13648	14758	15251	15652	16040	16671	17607	18184	18561	19262	19877	19877	20253	20612	20833	21176	21506	21772	21983	22248	22385	22541	22760
爱沙尼亚	Estonia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	5	10	10	10	12	13	16	17	68	135	171	205	225	258	267	283	0	352	352	369	404	538	575	640	640	745	779	858	961	1018	1097	1108	1149	1185	1185	1207	1258	1309	1332	1373	1400	1434	1459	1512	1528	1535	1552	1559	1592	1605	1635	1643	1647	1660	1666	1689	1694	1699	1700	1703	1711	1713	1720	1725	1733	1739
安道尔	Andorra	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	15	15	54	75	88	1	133	164	185	220	263	267	308	308	370	390	390	428	466	501	526	545	564	583	601	601	638	646	646	673	673	696	704	704	713	717	717	723	723	723	738	740	743	743	743	745	745	747	748	750	751	751	752	752	754
安哥拉	Angola	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	4	5	7	7	7	8	8	8	10	14	16	17	19	19	19	19	19	19	19	19	19	19	24	24	24	24	25	25	25	25	26	26	27	27	27	30	35	35	35	36	36	36	43	43
安圭拉岛	Anguilla	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
安提瓜和巴布达	Antigua and Barbuda	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1	3	3	7	7	7	7	7	7	7	15	19	19	19	19	21	23	23	23	23	23	23	23	23	23	24	24	24	24	24	24	24	24	24	24	25	25	25	25	25	25	25	25	25
奥地利	Austria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	3	5	5	10	14	16	24	40	41	55	79	131	157	182	246	361	504	674	860	1016	1332	1646	2196	2649	9	3611	4486	4876	6001	6398	7964	8536	9377	9974	10501	10927	11251	11781	11920	12206	12519	12881	13138	13494	13776	13945	14013	14159	14321	14412	14553	14671	14696	14795	14873	14925	15002	15071	15148	15225	15274	15357	15402	15452	15561	15561	15597	15621	15650	15684	15752	15774	15833	15871
奥兰群岛	Aland	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
