Region_CN	Region_EN	T20191231	T20200111	T20200112	T20200113	T20200114	T20200115	T20200116	T20200117	T20200118	T20200119	T20200120	T20200121	T20200122	T20200123	T20200124	T20200125	T20200126	T20200127	T20200128	T20200129	T20200130	T20200131	T20200201	T20200202	T20200203	T20200204	T20200205	T20200206	T20200207	T20200208	T20200209	T20200210	T20200211	T20200212	T20200213	T20200214	T20200215	T20200216	T20200217	T20200218	T20200219	T20200220	T20200221	T20200222	T20200223	T20200224	T20200225	T20200226	T20200227	T20200228	T20200229	T20200301	T20200302	T20200303	T20200304	T20200305	T20200306	T20200307	T20200308	T20200309	T20200310	T20200311	T20200312	T20200313	T20200314	T20200315	T20200316	T20200317	T20200318	T20200319	T20200320	T20200321	T20200322	T20200323	T20200324	T20200325	T20200326	T20200327	T20200328	T20200329	T20200330	T20200331	T20200401	T20200402	T20200403	T20200404	T20200405	T20200406	T20200407	T20200408	T20200409	T20200410	T20200411	T20200412	T20200413	T20200414	T20200415	T20200416	T20200417	T20200418	T20200419	T20200420	T20200421	T20200422	T20200423	T20200424	T20200425	T20200426	T20200427	T20200428	T20200429	T20200430	T20200501	T20200502	T20200503	T20200504	T20200505	T20200506	T20200507	T20200508	T20200509	T20200510	T20200511	T20200512	T20200513	T20200514	T20200515	T20200516	T20200517	T20200518	T20200519	T20200520	T20200521	T20200522	T20200523	T20200524	T20200525	T20200526	T20200527
安徽省	Anhui	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	2	2	7	6	3	11	13	12	14	15	20	20	38	32	34	34	27	68	63	76	67	53	28	44	35	37	50	28	26	20	29	24	15	14	9	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
澳门特别行政区	Macao	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	2	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	2	1	0	1	3	0	2	2	2	1	0	1	3	1	1	1	1	2	1	1	0	0	1	0	0	0	1	1	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0
北京市	Beijing	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	2	0	1	0	4	3	11	1	8	2	1	3	7	4	8	12	11	18	8	9	8	23	8	16	9	11	9	17	20	13	9	14	5	6	6	6	3	1	5	5	7	5	6	8	8	7	4	5	10	5	6	5	8	6	2	1	0	2	3	3	2	1	4	2	6	10	4	3	2	5	7	9	5	5	5	5	7	4	8	6	0	1	4	2	2	4	2	1	0	0	11	2	4	5	0	4	2	1	1	2	3	3	2	3	3	2	1	0	2	1	1	0	0	1	0	0	2	0	0	0	0
福建省	Fujian	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	6	4	4	5	4	11	4	7	8	5	7	11	7	7	5	16	22	16	15	9	14	17	20	7	9	2	4	8	6	9	8	6	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	1	1	2	2	0	2	1	3	6	4	4	4	2	2	1	2	3	0	2	1	0	4	3	0	0	0	3	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
甘肃省	Gansu	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	2	3	0	3	4	5	3	7	8	5	5	5	4	4	3	6	5	0	2	2	0	1	1	0	0	2	1	1	1	0	0	0	0	1	0	0	0	1	2	0	0	0	-1	7	-1	-1	1	4	1	2	2	2	0	0	0	0	2	0	4	0	1	0	1	2	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
广东省	Guangdong	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	1	1	3	0	3	2	6	12	17	19	29	28	18	38	60	43	48	54	50	37	57	41	48	45	56	20	32	33	36	32	46	53	37	25	47	48	30	50	24	17	10	10	12	6	8	3	4	3	1	5	6	4	3	4	3	1	1	2	1	4	8	2	2	4	8	3	10	9	8	6	10	12	11	3	6	11	4	4	9	4	7	8	4	7	10	7	10	6	8	0	5	7	3	8	2	0	2	2	4	0	0	1	0	1	1	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0
广西壮族自治区	Guangxi	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	5	3	4	3	0	1	0	12	1	2	2	5	6	5	7	18	11	8	4	5	3	22	9	21	7	6	7	9	14	8	3	4	2	4	7	4	3	4	2	0	0	4	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
贵州省	Guizhou	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	3	1	0	0	1	0	3	7	3	8	5	4	10	19	3	2	5	14	1	11	1	1	8	0	0	0	2	0	0	0	0	1	2	6	6	4	4	3	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
海南省	Hainan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	1	3	-1	4	4	0	1	7	3	8	1	13	7	20	5	5	7	8	2	10	8	5	4	4	12	3	0	4	3	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
河北省	Hebei	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	3	9	9	5	5	6	7	6	15	17	14	9	14	13	16	18	14	20	17	20	7	13	13	3	6	11	3	3	1	3	1	2	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	1	0	1	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
