Region_CN	Region_EN	T20191231	T20200111	T20200112	T20200113	T20200114	T20200115	T20200116	T20200117	T20200118	T20200119	T20200120	T20200121	T20200122	T20200123	T20200124	T20200125	T20200126	T20200127	T20200128	T20200129	T20200130	T20200131	T20200201	T20200202	T20200203	T20200204	T20200205	T20200206	T20200207	T20200208	T20200209	T20200210	T20200211	T20200212	T20200213	T20200214	T20200215	T20200216	T20200217	T20200218	T20200219	T20200220	T20200221	T20200222	T20200223	T20200224	T20200225	T20200226	T20200227	T20200228	T20200229	T20200301	T20200302	T20200303	T20200304	T20200305	T20200306	T20200307	T20200308	T20200309	T20200310	T20200311	T20200312	T20200313	T20200314	T20200315	T20200316	T20200317	T20200318	T20200319	T20200320	T20200321	T20200322	T20200323	T20200324	T20200325	T20200326	T20200327	T20200328	T20200329	T20200330	T20200331	T20200401	T20200402	T20200403	T20200404	T20200405	T20200406	T20200407	T20200408	T20200409	T20200410	T20200411	T20200412	T20200413	T20200414	T20200415	T20200416	T20200417	T20200418	T20200419	T20200420	T20200421	T20200422	T20200423	T20200424	T20200425	T20200426	T20200427	T20200428	T20200429	T20200430	T20200501	T20200502	T20200503	T20200504	T20200505	T20200506	T20200507	T20200508	T20200509	T20200510	T20200511	T20200512	T20200513	T20200514	T20200515	T20200516	T20200517	T20200518	T20200519	T20200520	T20200521	T20200522	T20200523	T20200524	T20200525	T20200526	T20200527
安徽省	Anhui	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	3	5	7	14	20	23	34	47	59	73	88	108	128	166	198	232	266	293	361	424	500	567	620	648	692	727	764	814	842	868	888	917	941	956	970	979	981	984	984	984	984	984	984	984	984	984	984	984	984	984	984	984	984	984	984	984	984	984	984	984	984	984	984	984	984	984	984	984	984	984	984	984	984	984	984	984	984	984	984	984	984	984	984	984	984	985	985	985	985	985	985	985	985	985	985	985	985	985	985	985	985	985	985	985	985	985	985	985	985	985	985	985	985	985	985	985	985	985
澳门特别行政区	Macao	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	2	3	3	3	5	5	5	6	6	6	6	6	6	7	7	8	8	8	8	8	9	9	9	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	13	13	15	16	16	17	20	20	22	24	26	27	27	28	31	32	33	34	35	37	38	39	39	39	40	40	40	40	41	42	42	43	43	43	44	44	44	45	45	45	45	45	45	45	45	45
北京市	Beijing	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	2	2	4	4	5	5	9	12	23	24	31	33	34	37	44	48	56	68	79	97	105	114	122	145	153	169	178	189	198	215	235	248	257	271	276	282	288	294	297	298	303	308	315	320	326	334	342	349	353	358	368	373	379	384	392	398	400	401	401	403	406	409	411	412	416	418	424	434	438	441	443	448	455	464	469	474	479	484	491	495	503	509	509	510	514	516	518	522	524	525	525	525	536	538	542	547	547	551	553	554	555	557	560	563	565	568	571	573	574	574	576	577	578	578	578	579	579	579	581	581	581	581	581
福建省	Fujian	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	7	11	15	20	24	35	39	46	54	59	66	77	84	91	96	112	134	150	165	174	188	205	225	232	241	243	247	255	261	270	278	284	295	295	295	295	295	295	295	295	295	295	295	295	295	295	295	295	295	295	295	295	295	295	295	295	297	299	300	301	303	305	305	307	308	311	317	321	325	329	331	333	334	336	339	339	341	342	342	346	349	349	349	349	352	353	353	353	353	353	353	353	354	354	354	354	354	354	354	354	355	355	355	355	355	355	355	355	355	355	355	355	355	355
甘肃省	Gansu	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	4	6	9	9	12	16	21	24	31	39	44	49	54	58	62	65	71	76	76	78	80	80	81	82	82	82	84	85	86	87	87	87	87	87	88	88	88	88	89	91	91	91	91	90	97	96	113	114	118	119	121	123	125	125	125	125	125	127	127	131	131	132	132	133	135	135	135	135	135	135	136	136	137	137	137	137	137	137	137	137	137	137	137	137	137	137	137	137	137	137	137	137	137	137	137	137	137	137	137	137	137	137	137	137	137	137	137	137	137	137	137	137	137	137
广东省	Guangdong	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	2	4	5	6	9	9	12	14	20	32	49	68	97	125	143	181	241	284	332	386	436	473	530	571	619	664	720	740	772	805	841	873	919	972	1009	1034	1081	1129	1159	1209	1233	1250	1260	1270	1282	1288	1296	1299	1303	1306	1307	1312	1318	1322	1325	1329	1332	1333	1334	1336	1337	1341	1349	1351	1353	1357	1365	1368	1378	1387	1395	1401	1411	1423	1434	1437	1443	1454	1458	1462	1471	1475	1482	1490	1494	1501	1511	1518	1528	1534	1542	1542	1547	1554	1557	1565	1567	1567	1569	1571	1575	1575	1575	1576	1576	1577	1578	1578	1579	1579	1579	1579	1579	1579	1579	1579	1580	1580	1580	1581	1581	1581	1581
广西壮族自治区	Guangxi	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	2	2	2	7	10	14	17	17	18	18	30	31	33	35	40	46	51	58	76	87	95	99	104	107	129	138	159	166	172	179	188	202	210	213	217	219	223	230	234	237	241	243	243	243	247	248	250	250	250	250	250	250	250	250	250	250	250	250	250	250	250	252	252	252	252	252	252	252	252	252	252	252	252	252	252	252	252	252	252	252	252	252	252	252	252	252	252	252	252	252	252	252	252	252	252	252	252	252	252	252	252	252	252	252	252	252	252	252	252	252	252	252	252	252	252	252	252	252
贵州省	Guizhou	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	2	2	2	5	6	6	6	7	7	10	17	20	28	33	37	47	66	69	71	76	90	91	102	103	104	112	112	112	112	114	114	114	114	114	115	117	123	129	133	137	140	143	143	143	144	144	144	144	144	144	144	144	144	144	144	144	144	144	144	144	144	144	144	144	144	144	144	144	144	144	144	144	144	144	144	144	144	145	145	145	145	145	145	145	145	145	145	145	145	145	145	145	145	145	145	145	145	145	145	145	145	145	145	145	145	145	145	145	145	145	145	145	145	145	145	145	145
海南省	Hainan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	4	4	4	5	9	11	15	19	19	20	27	30	38	39	52	59	79	84	89	96	104	106	116	124	129	132	136	148	151	151	155	158	158	158	158	159	159	159	160	160	160	160	160	161	161	161	161	161	161	161	161	162	162	162	162	162	162	162	162	162	162	162	162	162	162	162	162	162	162	162	162	162	162	162	162	162	162	162	162	162	162	162	162	162	162	162	162	162	162	162	162	162	162	162	162	162	162	162	162	162	162	162	162	162	162	162	162	162	162	162	162	162	162	162	162	162
河北省	Hebei	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	3	4	7	16	25	30	35	41	48	54	69	86	100	109	123	136	152	170	184	204	221	241	248	261	274	277	283	294	297	300	301	304	305	307	307	307	307	307	310	310	310	310	310	310	310	310	310	310	310	310	310	310	310	310	310	310	310	310	310	310	310	310	310	312	312	313	313	313	313	313	314	314	315	316	316	316	317	317	317	317	317	318	318	318	318	318	318	318	318	318	318	320	320	320	320	320	321	321	321	321	321	321	321	321	322	322	322	322	322	322	322	322	322	322	322
河南省	Henan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	3	3	4	14	20	41	54	68	97	131	169	198	231	258	313	356	397	438	505	552	614	717	802	861	930	989	1023	1062	1103	1161	1185	1205	1223	1234	1239	1241	1243	1246	1247	1247	1249	1249	1249	1249	1250	1250	1250	1250	1250	1250	1250	1250	1250	1250	1250	1250	1250	1251	1251	1251	1251	1251	1251	1251	1251	1251	1252	1252	1252	1252	1252	1252	1253	1253	1254	1254	1254	1254	1254	1254	1254	1254	1254	1254	1254	1254	1254	1254	1254	1254	1254	1254	1254	1254	1254	1254	1254	1254	1254	1254	1254	1254	1254	1254	1254	1254	1254	1254	1254	1254	1254	1254	1254	1254	1254	1254	1254	1254	1254
黑龙江省	Heilongjiang	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	4	7	8	12	13	15	27	28	31	37	48	70	80	85	108	123	141	183	215	224	232	245	262	280	295	330	350	358	372	379	380	402	409	421	434	435	440	446	447	453	454	456	459	460	463	463	465	465	468	468	469	469	469	469	469	469	469	469	469	469	469	469	469	470	470	470	470	470	470	470	470	471	471	472	472	472	475	477	485	485	508	511	556	586	587	587	587	604	620	657	719	758	793	815	835	891	904	924	929	930	930	931	932	932	932	932	932	932	932	932	932	932	932	932
湖北省	Hubei	0	6	7	7	7	12	15	19	24	25	25	25	28	31	32	42	44	47	80	90	116	166	215	295	396	520	633	817	1115	1439	1795	2222	2639	3441	3862	4774	5623	6639	7862	9128	10337	11788	13557	15299	16738	18854	20912	23200	26403	28895	31187	33757	36167	38556	40479	41966	43468	45011	46433	47585	49056	50298	51553	52943	54278	55094	55987	56883	57678	58381	58942	59432	59879	60323	60810	61201	61731	62098	62565	62882	63153	63326	63471	63612	63762	63945	64014	64073	64142	64187	64236	64264	64281	64338	64363	64402	64435	63487	63494	63507	63511	63514	63519	63547	63569	63593	63604	63616	63616	63616	63616	63616	63616	63616	63616	63616	63616	63616	63616	63616	63616	63616	63616	63616	63616	63616	63616	63616	63616	63616	63616	63616	63616	63616	63616	63617	63617	63618	63618
湖南省	Hunan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	8	16	22	35	56	91	119	159	186	213	263	312	352	389	430	467	501	542	578	638	670	704	721	751	779	793	820	841	853	876	892	913	933	946	959	965	979	988	995	998	1004	1009	1014	1014	1014	1014	1014	1014	1014	1014	1014	1014	1014	1014	1014	1014	1014	1014	1014	1014	1014	1014	1014	1014	1014	1014	1014	1014	1014	1014	1014	1014	1014	1014	1014	1014	1015	1015	1015	1015	1015	1015	1015	1015	1015	1015	1015	1015	1015	1015	1015	1015	1015	1015	1015	1015	1015	1015	1015	1015	1015	1015	1015	1015	1015	1015	1015	1015	1015	1015	1015	1015	1015	1015	1015	1015	1015
吉林省	Jilin	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	2	4	4	5	12	13	18	22	25	25	28	30	34	36	40	44	46	52	54	60	63	65	68	73	75	78	83	84	86	88	90	90	90	91	91	91	91	91	91	92	92	92	92	92	92	92	92	92	92	92	92	92	92	92	92	92	92	92	92	92	92	92	92	93	95	96	96	96	96	96	96	97	97	97	97	97	98	98	99	99	99	99	99	99	99	101	102	103	103	103	103	103	104	105	105	105	105	108	108	108	108	113	122	123	125	125	127	128	128	128	128	128	133
江苏省	Jiangsu	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	2	5	6	7	8	13	26	38	43	51	72	84	94	131	137	160	190	226	263	296	325	352	387	411	427	458	463	494	506	519	529	536	555	565	580	588	601	610	618	622	627	628	630	630	631	631	631	631	631	631	631	631	631	631	631	631	631	631	631	631	631	631	631	632	632	633	633	633	633	633	634	636	638	638	641	642	642	643	643	643	643	644	645	645	646	646	646	646	646	647	648	650	650	650	650	650	650	651	652	652	652	653	653	653	653	653	653	653	653	653	653	653	653	653	653	653	653	653	653
江西省	Jiangxi	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	3	7	9	10	18	19	27	37	45	55	72	102	127	152	170	187	210	239	275	310	362	432	489	544	611	645	682	719	754	790	811	831	850	870	884	901	908	916	918	923	927	932	934	934	934	934	934	934	934	934	934	934	934	934	934	934	934	934	934	934	935	935	935	935	935	935	935	935	935	935	935	936	936	936	936	936	936	936	936	936	936	936	936	936	936	936	936	936	936	936	936	936	936	936	936	936	936	936	936	936	936	936	936	936	936	936	936	936	936	936	936	936	936	936	936	936	936	936	936	936
辽宁省	Liaoning	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	2	4	5	7	8	12	12	19	20	22	29	32	41	43	55	58	61	66	68	73	83	88	92	93	95	101	103	103	106	106	106	106	108	109	110	111	111	112	113	113	114	119	122	122	122	122	122	124	124	124	124	124	124	124	124	124	124	124	124	125	126	128	130	131	131	132	133	136	136	138	138	138	140	142	142	143	143	143	143	143	143	143	143	143	143	143	143	144	144	144	144	144	144	144	144	144	144	144	144	144	144	144	144	144	144	144	144	144	144	144	145	147	147	147
内蒙古自治区	Inner Mongoria IM	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	4	4	5	5	5	5	5	6	6	6	7	8	8	9	11	16	22	26	30	34	35	38	43	46	51	51	54	59	63	65	65	68	70	70	70	71	71	71	71	71	73	73	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	79	79	79	83	83	91	94	94	103	104	104	104	108	108	108	108	108	115	123	139	140	144	146	148	148	150	154	161	165	166	169	178	181	188	188	188	192	194	194	194	194	194	197	197	197	197	199	202	203	203
宁夏回族自治区	Ningxia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	3	13	13	14	22	24	24	27	33	33	35	42	42	44	48	48	57	58	61	65	68	68	69	69	69	69	69	69	71	71	71	71	71	72	72	72	73	73	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75
青海省	Qinghai	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	3	3	3	3	5	9	11	11	13	13	13	15	16	16	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18
山东省	Shandong	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	2	5	6	7	13	18	31	38	50	63	71	80	98	111	139	164	175	193	215	238	270	293	311	325	343	357	381	390	411	431	455	497	511	576	602	625	637	647	703	721	733	739	740	741	743	746	746	747	748	749	750	751	752	752	752	752	752	752	753	753	753	753	754	755	755	755	755	755	756	756	757	757	758	759	761	761	761	765	765	765	765	766	766	766	767	767	768	768	771	772	772	772	772	773	773	775	775	776	776	776	777	777	777	777	777	779	779	779	779	779	779	779	779	779	779	779	779	779
山西省	Shanxi	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	2	2	4	6	12	15	21	25	26	30	33	36	38	46	50	53	61	68	76	78	81	88	94	98	104	107	112	114	116	119	124	124	126	126	126	126	127	131	131	132	133	133	133	133	133	133	133	133	133	133	133	133	133	133	133	133	133	133	133	133	133	133	133	133	133	134	134	134	135	135	135	135	135	135	135	135	135	135	140	140	142	142	149	154	157	160	160	164	172	176	176	180	190	193	194	195	196	197	197	197	198	198	198	198	198	198	198	198	198	198	198	198	198	198	198	198
陕西省	Shaanxi	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	6	11	17	20	26	31	36	42	49	53	64	74	79	89	105	117	140	153	162	175	186	194	197	200	207	209	216	218	222	224	226	226	227	227	227	232	232	232	232	232	233	236	237	237	239	239	239	240	240	242	242	242	242	242	242	242	242	244	245	245	246	246	246	246	246	248	248	248	248	251	251	252	252	252	252	253	253	253	253	253	253	253	253	253	253	254	255	260	263	263	264	266	268	292	293	294	296	297	297	300	301	301	301	303	303	303	303	304	305	305	305	305	305
上海市	Shanghai	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	3	4	5	5	9	10	10	10	12	15	25	30	41	44	48	53	57	62	90	124	140	161	177	186	199	211	227	249	261	268	272	276	279	287	290	292	294	298	303	306	313	314	315	319	320	321	324	324	324	325	325	326	326	326	327	328	329	330	330	331	334	334	334	338	341	343	343	348	356	383	389	406	417	422	435	438	446	458	468	485	489	512	516	521	530	531	533	534	548	558	568	581	584	597	599	612	613	615	619	620	620	623	623	626	627	627	631	633	638	640	641	641	641	642	645	646	647	647	648	652	653	655
四川省	Sichuan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	3	3	12	14	23	27	37	50	60	76	82	85	93	105	115	127	136	163	177	198	222	242	256	263	278	292	310	326	350	363	378	389	400	418	428	448	457	465	470	484	494	500	510	515	516	520	525	531	536	536	536	536	536	536	536	536	536	536	536	536	536	537	537	538	539	540	541	541	541	546	547	547	548	548	550	552	552	553	554	554	554	556	557	558	558	558	558	558	558	558	558	558	558	558	558	558	558	558	558	558	558	558	558	558	558	558	558	558	558	558	558	558	558	558	558	558	558	558
台湾省	Taiwan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2	5	5	5	5	6	9	9	12	12	12	12	12	12	13	15	15	17	17	20	20	20	20	22	22	22	26	28	28	28	29	29	29	29	30	30	39	39	39	45	50	50	50	54	57	61	67	80	91	99	109	114	124	137	155	166	178	189	203	217	236	253	264	275	281	290	307	311	322	324	324	332	334	334	339	347	355	361	366	368	372	375	383	387	389	395	398	401	402	407	408	411	414	415	416	419
天津市	Tianjing	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	2	2	2	4	4	8	10	11	21	32	37	45	46	48	54	59	62	65	81	87	91	96	102	105	109	111	118	124	128	128	128	128	129	130	131	132	132	132	132	133	133	133	133	133	133	133	133	133	133	133	133	133	133	133	133	135	135	140	140	144	144	151	152	152	154	158	161	161	164	168	171	172	173	173	174	174	176	178	179	181	182	182	182	183	183	184	185	186	186	186	186	186	186	186	186	186	186	186	187	187	187	187	187	187	187	187	187	187	187	188	188	188	188
西藏自治区	Tibet	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
