Region_CN	Region_EN	T20191231	T20200111	T20200112	T20200113	T20200114	T20200115	T20200116	T20200117	T20200118	T20200119	T20200120	T20200121	T20200122	T20200123	T20200124	T20200125	T20200126	T20200127	T20200128	T20200129	T20200130	T20200131	T20200201	T20200202	T20200203	T20200204	T20200205	T20200206	T20200207	T20200208	T20200209	T20200210	T20200211	T20200212	T20200213	T20200214	T20200215	T20200216	T20200217	T20200218	T20200219	T20200220	T20200221	T20200222	T20200223	T20200224	T20200225	T20200226	T20200227	T20200228	T20200229	T20200301	T20200302	T20200303	T20200304	T20200305	T20200306	T20200307	T20200308	T20200309	T20200310	T20200311	T20200312	T20200313	T20200314	T20200315	T20200316	T20200317	T20200318	T20200319	T20200320	T20200321	T20200322	T20200323	T20200324	T20200325	T20200326	T20200327	T20200328	T20200329	T20200330	T20200331	T20200401	T20200402	T20200403	T20200404	T20200405	T20200406	T20200407	T20200408	T20200409	T20200410	T20200411	T20200412	T20200413	T20200414	T20200415	T20200416	T20200417	T20200418	T20200419	T20200420	T20200421	T20200422	T20200423	T20200424	T20200425	T20200426	T20200427	T20200428	T20200429	T20200430	T20200501	T20200502	T20200503	T20200504	T20200505	T20200506	T20200507	T20200508	T20200509	T20200510	T20200511	T20200512	T20200513	T20200514	T20200515	T20200516	T20200517	T20200518	T20200519	T20200520	T20200521	T20200522	T20200523	T20200524	T20200525	T20200526	T20200527
阿尔巴尼亚	Albania	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	9	18	0	5	4	0	13	0	0	15	6	0	28	19	23	40	11	0	0	26	20	34	27	29	28	0	22	17	9	7	0	30	21	8	19	24	21	9	14	22	25	25	29	15	0	48	0	24	16	7	0	16	6	8	17	12	10	8	6	12	4	4	4	18	0	35	13	2	1	15	5	12	8	9	6	25	21
阿尔及利亚	Algeria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	16	0	0	2	0	0	1	5	1	11	11	6	6	7	8	15	12	37	91	0	34	38	65	42	45	57	73	132	131	139	185	80	69	103	45	104	94	95	64	89	69	87	90	108	150	116	95	89	93	99	97	120	129	126	267	0	199	158	148	141	179	174	190	159	185	187	189	165	168	176	186	189	187	192	198	182	176	165	186	190	195	193	197	194
阿富汗	Afghanistan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0	1	2	0	0	3	6	5	1	0	0	2	0	10	8	0	32	10	11	22	0	28	29	22	43	34	26	38	30	56	21	40	37	0	86	58	49	70	56	66	27	60	33	66	84	103	51	133	68	172	125	110	233	164	134	235	190	330	168	171	215	255	369	285	276	263	413	414	349	262	408	581	492	531	540	782	584	591	658	625
阿根廷	Argentina	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	6	1	3	5	2	0	12	3	11	0	20	0	32	31	30	67	0	76	86	115	87	101	55	0	221	88	79	132	88	98	103	74	87	80	99	81	167	66	69	166	128	98	89	81	102	90	113	144	147	172	173	112	111	124	158	143	104	149	102	104	133	188	163	240	165	258	244	285	316	255	345	326	263	303	438	474	648	718	704	723	552	600
阿克罗蒂里和德克利亚	Akrotiri and Dhekelia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
阿拉伯联合酋长国	United Arab Emirates	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	1	0	0	0	0	0	2	0	0	1	0	0	0	0	0	1	0	0	0	0	2	0	0	2	0	0	6	2	0	0	0	6	1	0	17	0	0	29	0	0	11	0	1	12	0	15	27	0	13	0	45	0	135	0	0	135	0	143	53	0	150	210	481	0	571	0	583	0	331	746	0	387	398	412	432	460	0	956	484	490	483	518	0	525	1068	0	1031	0	1101	557	0	1125	0	1029	0	1048	553	0	1405	0	1463	0	1423	0	747	1527	0	1705	0	941	894	994	1593	0	1601	0
阿鲁巴	Aruba	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	67	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
阿曼	Oman	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	1	1	0	0	0	6	0	4	0	0	0	0	0	2	0	1	1	1	1	2	9	6	0	13	3	11	18	15	10	22	21	15	12	13	18	21	21	25	21	33	40	48	38	27	0	115	128	86	97	109	50	111	86	144	98	106	102	74	115	93	51	82	143	74	99	36	85	69	98	168	55	154	112	175	174	148	298	622	-16	404	157	193	292	372	327	424	463	513	0	348	255
阿塞拜疆	Azerbaijan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	8	2	2	4	0	4	2	0	0	0	0	19	9	19	0	21	0	29	43	17	27	64	25	102	43	78	63	57	76	105	104	0	65	107	50	49	56	0	30	90	25	38	44	38	30	44	25	28	33	39	0	87	0	90	38	0	128	67	77	75	143	0	97	70	169	121	0	259	136	0	113	131	231	0	233	140	149	0	132
埃及	Egypt	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	12	1	18	26	0	0	8	13	13	17	16	40	30	14	46	29	9	33	39	76	14	39	41	40	33	47	54	69	86	120	85	103	149	128	110	139	95	145	126	125	160	155	168	171	188	112	189	157	169	232	201	227	215	508	0	226	269	358	298	272	348	388	387	393	495	488	436	346	347	338	398	399	491	510	535	720	745	774	783	727	752	702	789
