Region_CN	Region_EN	T20191231	T20200111	T20200112	T20200113	T20200114	T20200115	T20200116	T20200117	T20200118	T20200119	T20200120	T20200121	T20200122	T20200123	T20200124	T20200125	T20200126	T20200127	T20200128	T20200129	T20200130	T20200131	T20200201	T20200202	T20200203	T20200204	T20200205	T20200206	T20200207	T20200208	T20200209	T20200210	T20200211	T20200212	T20200213	T20200214	T20200215	T20200216	T20200217	T20200218	T20200219	T20200220	T20200221	T20200222	T20200223	T20200224	T20200225	T20200226	T20200227	T20200228	T20200229	T20200301	T20200302	T20200303	T20200304	T20200305	T20200306	T20200307	T20200308	T20200309	T20200310	T20200311	T20200312	T20200313	T20200314	T20200315	T20200316	T20200317	T20200318	T20200319	T20200320	T20200321	T20200322	T20200323	T20200324	T20200325	T20200326	T20200327	T20200328	T20200329	T20200330	T20200331	T20200401	T20200402	T20200403	T20200404	T20200405	T20200406	T20200407	T20200408	T20200409	T20200410	T20200411	T20200412	T20200413	T20200414	T20200415	T20200416	T20200417	T20200418	T20200419	T20200420	T20200421	T20200422	T20200423	T20200424	T20200425	T20200426	T20200427	T20200428	T20200429	T20200430	T20200501	T20200502	T20200503	T20200504	T20200505	T20200506	T20200507	T20200508	T20200509	T20200510	T20200511	T20200512	T20200513	T20200514	T20200515	T20200516	T20200517	T20200518	T20200519	T20200520	T20200521	T20200522	T20200523	T20200524	T20200525	T20200526	T20200527
阿尔巴尼亚	Albania	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	10	10	10	10	10	44	44	44	44	99	104	131	131	154	165	182	182	217	232	248	251	277	283	302	314	327	345	356	385	394	394	410	410	431	455	470	470	519	531	543	570	595	605	620	627	650	654	682	688	694	694	714	715	727	742	758	771	777	783	789	795	803	812
阿尔及利亚	Algeria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	10	10	12	12	12	12	12	12	12	12	12	12	12	12	29	29	29	29	37	37	37	37	62	90	90	90	113	237	347	405	460	591	601	691	708	783	846	894	1047	1099	1152	1204	1355	1408	1479	1508	1651	1651	1702	1779	1821	1872	1936	1998	2067	2197	2323	2467	2546	2678	2841	2998	3058	3158	3271	3409	3507	3625	3746	3968	4062	4256	4426	4784	4784	4918
阿富汗	Afghanistan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	2	10	15	15	18	18	32	32	32	38	38	40	43	54	99	112	131	131	150	166	179	188	188	207	220	228	231	260	310	331	345	397	421	458	468	472	502	558	558	610	648	691	745	745	778	801	850	930	938	996	1040	1075	1097	1128	1138
阿根廷	Argentina	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	72	72	72	228	228	228	228	228	266	279	280	338	338	358	365	440	440	468	559	559	631	631	666	709	737	840	872	919	976	1030	1030	1107	1140	1162	1192	1256	1292	1320	1354	1442	1524	1601	1601	1659	1728	1757	1837	2266	2385	2385	2497	2534	2569	2625	2933	2933	3032	3062	3530	3999	4167	4349
阿克罗蒂里和德克利亚	Akrotiri and Dhekelia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
阿拉伯联合酋长国	United Arab Emirates	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	3	3	3	3	3	3	3	3	5	5	5	5	5	5	5	5	5	5	5	5	5	5	7	7	7	7	7	7	20	20	23	26	26	26	26	26	38	38	41	41	52	52	52	55	55	61	61	61	61	61	125	125	167	167	239	239	268	588	588	680	852	933	1034	1095	1095	1286	1360	1443	1546	1637	1637	1760	1978	1978	2181	2181	2429	2543	2543	2763	2763	3153	3153	3572	3837	3837	4804	4804	6012	6012	6930	6930	7328	8512	8512	10791	10791	11809	12755	13798	15056	15056	15982	15982
阿鲁巴	Aruba	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	27	27	27	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	79	79	79	79	79	79	79	79	79	89	89	89	89	89	93	93	93	93	93	93	93	93	93	93	93	93	93
阿曼	Oman	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	2	2	2	2	2	2	2	2	2	9	9	9	12	12	12	12	13	13	17	17	17	23	23	23	23	29	34	34	51	57	61	61	61	67	72	109	109	109	109	124	130	131	176	176	176	233	238	238	238	307	325	329	333	364	364	364	495	495	750	750	816	858	888	980	1025	1068	1117	1211	1250	1289	1303	1350	1436	1465	1496	1574	1661	1821	1821	1848	1933	1933	2067	2177
阿塞拜疆	Azerbaijan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	3	3	6	6	6	6	6	6	10	10	10	10	10	10	15	15	15	15	26	26	26	32	32	32	44	44	63	101	101	159	250	289	351	404	404	460	590	712	791	865	907	948	1013	1080	1139	1162	1221	1221	1325	1325	1411	1441	1441	1508	1536	1551	1576	1620	1620	1650	1680	1789	1833	1833	1944	2015	2015	2055	2198	2340	2340	2506	2607	2741	2741	2819
埃及	Egypt	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	12	12	12	12	12	21	26	26	26	26	26	28	39	41	56	68	80	95	102	116	121	132	150	150	150	150	216	241	247	259	276	305	348	384	426	589	589	589	589	596	646	701	732	821	870	935	1004	1075	1114	1176	1304	1304	1335	1381	1460	1522	1562	1632	1730	1815	1887	1945	2002	2075	2172	2326	2486	2626	2799	2950	3172	3440	3742	3994	4217	4374	4628	4807	4900	5027
